7.491024231226675045e-01    3.772370366265962449e-01    2.800556192583729676e-01    5.738709650542482832e-01    5.616780261259747276e-01    4.483501906784086444e-01    9.029291385964670624e-01    4.218915798704191422e-01    9.031129703960130151e-01    8.677893037771211571e-01
5.444902771688152621e-01    5.516263405445100965e-01    5.675897292190213994e-01    3.775586838186939520e-01    3.266629450501564724e-01    9.445720148947135408e-01    9.107719506585468805e-01    6.147495448154995934e-01    6.603580053342258394e-01    4.172468257244970058e-01
9.734694592417219017e-01    4.256901828489911832e-02    2.594040330534075345e-01    2.227161190846956851e-01    2.019308454388165641e-01    4.401556483511478435e-01    5.179287561033132370e-01    1.684422920227283127e-01    2.827041573362625293e-01    8.920655889262095739e-01
4.595383803131615208e-01    1.579197399729023177e-01    5.536558034669109007e-01    6.316416770831912997e-01    1.177487296610399969e-01    8.620923787918501890e-01    5.060561084637121843e-01    3.002789810853625507e-01    2.670557014352185066e-01    7.237802824134802471e-01
6.594703488547105641e-01    7.821598111331233838e-01    3.571987791636308529e-01    8.850772797132705483e-01    5.004831022884949077e-01    8.378273561084929044e-01    5.345486392584833935e-01    6.995381414110871665e-01    3.544381320121193779e-01    3.516304901185296483e-02
2.147024937272185019e-01    5.060481095798241569e-02    3.809460099352541818e-01    4.842778490880060849e-01    3.401874384682319619e-01    6.709629687986402580e-01    4.818862326642436855e-02    5.688392794988943457e-01    6.853158317823271339e-02    9.402923878067314112e-01
1.501126368113566700e-01    8.998743980043363289e-01    6.358572748260772345e-01    3.714993675160906950e-01    8.592558007541462040e-01    9.248720632870480740e-01    8.711862388909368260e-01    8.837776582781952106e-01    9.433910602886936836e-01    8.899251751516603637e-01
9.916987037496794999e-01    1.782044585445325957e-01    1.366539065771397166e-01    4.718682678801272568e-01    6.674860152892797549e-01    4.127886339074995359e-01    1.907556150562756958e-01    2.524711832589120464e-01    3.921474491677358065e-01    3.084758945866933333e-01
7.778456390818431210e-01    6.899180880785293901e-02    7.765488109744052014e-01    6.631112743592559866e-01    5.908594778531470748e-01    8.570390138709920169e-01    3.988595918873807378e-01    8.334140260706826009e-01    3.317913954785954855e-01    9.680056327283328432e-01
1.581102883116086710e-01    7.873958087786471216e-01    9.270517410392634661e-01    9.233257069381939353e-01    4.781245570131663625e-01    5.835210488213903313e-01    8.771911875323121777e-01    3.370597301854603156e-01    9.741207606979674916e-01    1.491062629853752153e-01
